제품코드,제품명,제품명(짧은),보관창고,생산일자,보관상태,재고,유통기한(%),대분류,중분류
2145,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho","""ЛОТТЕ ЧОКОПАЙ"" (Lotte Chocopie),336г (28г х 12шт) БЫК",LProduct,3112026,Good,420,95.07,PIE,Chocopie
1673,Печенье прослоенное глазированное «ЛОТТЕ ЧОКЛЭТ ПАЙ»(LOTTE C,ЧокоЛЭТПАЙ 12 шт Печеньепрослоенноеглазированное пачка336г,LProduct,12112026,Good,418,97.53,PIE,Chocopie
29,"Напиток безалкогольный газированный ""Милкис виноград"" (""Milk","""Милкис виноград"" (""Milkis Grape""),250мл",LProduct,9072027,Good,405,82.64,Beverage,Milkis
2105,Карамель с ореховой начинкой с ароматом ванили переслоенной,Карамель «Лотте Стаккато ЛЯ» 1 кг,LProduct,10082026,Good,384,97.04,Candy,LotteCar
2106,Карамель с шоколадно-ореховой начинкой с ароматом ванили пер,Карамель «Лотте Стаккато СИ» 1 кг,LProduct,4082026,Good,384,94.81,Candy,LotteCar
78,"Печенье с шоколадной начинкой ""Канчо"" (Kancho), 42г","""Канчо"" (Kancho), 42г",LProduct,3082026,Good,350,69.86,BISCUIT,Kancho
2154,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКОПАЙ» «LOTTE CHO,ЛОТТЕ ЧОКОПАЙ СО ВКУСОМ СЫРА 12шт,LProduct,12092026,Good,348,80.82,PIE,Chocopie
2144,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho","""ЛОТТЕ ЧОКОПАЙ"" (Lotte Chocopie),112г (28г х 4шт). БЫК",LProduct,18112026,Good,347,99.18,PIE,Chocopie
2150,Печенье прослоенное глазированное «Лотте Чокопай с ароматом,"«Лотте Чокопай с ароматом банана» (Lotte Chocopie Banana),",LProduct,3092026,Good,344,78.36,PIE,Chocopie
89,Карамель леденцовая с ксилитом «Энитайм с молочно-мятным вку,"«Энитайм с молочно-мятным вкусом», 60г",LProduct,24112026,Good,342,81.78,Candy Import,Anytime
1673,Печенье прослоенное глазированное «ЛОТТЕ ЧОКЛЭТ ПАЙ»(LOTTE C,ЧокоЛЭТПАЙ 12 шт Печеньепрослоенноеглазированное пачка336г,LProduct,24062026,Good,322,58.9,PIE,Chocopie
26,"Напиток безалкогольный газированный ""Милкис клубника"" (""Milk","""Милкис клубника"" (""Milkis Strawberry""),250мл",LProduct,29072027,Good,313,85.42,Beverage,Milkis
113,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho",ЧокоПай6(печеньепрослоенноеглазированное)пачка168г,LProduct,18112026,Good,270,99.18,PIE,Chocopie
1678,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКЛЭТ ПАЙ КАКАО""(L",ЧокоЛЭТПАЙ КАКАО 12 шт. Печенье прослоенное глазированное 33,LProduct,25092026,Good,260,84.38,PIE,Chocopie
81,"Кокосовое печенье «Butter Coconut», 100г","Кокосовое печенье «Butter Coconut», 100г",LProduct,18082026,Good,259,73.97,BISCUIT,Butter coconut
84,"Печенье c кунжутом «Harvest Original», 100г","Печенье c кунжутом «Harvest Original», 100г",LProduct,23072026,Good,248,66.85,BISCUIT,Harvest
88,Карамель леденцовая с ксилитом «Энитайм со вкусом сливы и пе,"«Энитайм со вкусом сливы и персика», 60г",LProduct,27112026,Good,243,82.44,Candy Import,Anytime
2150,Печенье прослоенное глазированное «Лотте Чокопай с ароматом,"«Лотте Чокопай с ароматом банана» (Lotte Chocopie Banana),",LProduct,22102026,Good,238,91.78,PIE,Chocopie
112,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho",ЧокоПай12(печеньепрослоенноеглазированное)пачка336г,LProduct,21062026,Good,231,58.08,PIE,Chocopie
86,"Жевательные молочные конфеты Malang Cow Lotte, 79г","Malang Cow Lotte, 79г",LProduct,9072026,Good,225,63.01,Candy Import,Malang cow
85,Жевательные молочные конфеты со вкусом клубники Malang Cow L,"Malang Cow Lotte, Strawberry 79г",LProduct,14072026,Good,223,64.38,Candy Import,Malang cow
27,"Напиток безалкогольный газированный ""Милкис"" (""Milkis""), 250","""Милкис"" (""Milkis""), 250мл",LProduct,14062027,Good,219,79.17,Beverage,Milkis
79,"Песочное печенье с кусочками шоколада «Чик Чок» (Chic choc),",«Чик Чок» (Chic choc) 90г,LProduct,4082026,Good,218,70.14,BISCUIT,Chic Chok
30,"Напиток безалкогольный газированный ""Милкис персик"" (""Milkis","""Милкис персик"" (""Milkis Peach""),250мл",LProduct,5082027,Good,217,86.39,Beverage,Milkis
87,Карамель леденцовая с ксилитом «Энитайм блюмарин» (Anytime B,"«Энитайм блюмарин», 60г",LProduct,23072026,Good,216,54.22,Candy Import,Anytime
80,"Крекер ""Фитнес"" (Fitness) с овощами, 83г","""Фитнес"" (Fitness) 83г",LProduct,10082026,Good,208,71.78,BISCUIT,FITNESS
40,"Напиток безалкогольный негазированный ""Aloe Vera Mango"" (Ало","""Aloe Vera Mango"" (Алоэ Вера Манго),240мл",LProduct,18072026,Good,200,33.19,Beverage,Aloe
2106,Карамель с шоколадно-ореховой начинкой с ароматом ванили пер,Карамель «Лотте Стаккато СИ» 1 кг,LProduct,5082026,Good,198,95.19,Candy,LotteCar
2150,Печенье прослоенное глазированное «Лотте Чокопай с ароматом,"«Лотте Чокопай с ароматом банана» (Lotte Chocopie Banana),",LProduct,10042026,Good,174,38.36,PIE,Chocopie
83,"Печенье «Лотте Сэнд» (Lotte Sand) со вкусом ананаса, 105г",Печенье «Лотте Сэнд» (Lotte Sand) 105г,LProduct,16072026,Good,171,64.93,BISCUIT,Lotte sand
2106,Карамель с шоколадно-ореховой начинкой с ароматом ванили пер,Карамель «Лотте Стаккато СИ» 1 кг,LProduct,3082026,Good,162,94.44,Candy,LotteCar
82,"Крекер «ZEC» со вкусом сыра, 100г","Крекер «ZEC» со вкусом сыра, 100г",LProduct,7082026,Good,158,70.96,BISCUIT,Zec
2164,МУЧНОЕ КОНДИТЕРСКОЕ ИЗДЕЛИЕ В ГЛАЗУРИ «ЛОТТЕ ЗЕРО ЧОКОПАЙ» (,МУЧНОЕ КОНДИТЕРСКОЕ ИЗДЕЛИЕ В ГЛАЗУРИ 168гр «ЛОТТЕ ЗЕРО ЧОК,LProduct,5102026,Good,157,87.12,PIE,Chocopie
112,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho",ЧокоПай12(печеньепрослоенноеглазированное)пачка336г,LProduct,25092026,Good,141,84.38,PIE,Chocopie
1678,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКЛЭТ ПАЙ КАКАО""(L",ЧокоЛЭТПАЙ КАКАО 12 шт. Печенье прослоенное глазированное 33,LProduct,18072026,Good,123,65.48,PIE,Chocopie
20,"Соломка в шоколадной глазури с миндалем ""Альмонд Пеперо""(Alm",ПепероАлмонд(соломкасшоколадом)пачка36г,LProduct,13102026,Good,119,89.32,Chocolate,Pepero
